id,created_at,text
8.66364E+17,5/21/17 18:45,Yes
8.65637E+17,5/19/17 18:36,Yes
8.62029E+17,5/9/17 19:37,Yes
8.61368E+17,5/7/17 23:50,Yes
8.60217E+17,5/4/17 19:40,Yes
8.59941E+17,5/4/17 1:21,Yes
8.58394E+17,4/29/17 18:53,Yes
8.55574E+17,4/22/17 0:10,Yes
8.55488E+17,4/21/17 18:28,Yes
8.53689E+17,4/16/17 19:16,Yes
8.51552E+17,4/10/17 21:46,Yes
8.4355E+17,3/19/17 19:50,Yes
8.42052E+17,3/15/17 16:38,No
8.37842E+17,3/4/17 1:48,No
8.36754E+17,3/1/17 1:45,No
8.35603E+17,2/25/17 21:32,No
8.3483E+17,2/23/17 18:19,No
8.32688E+17,2/17/17 20:28,Yes
8.32329E+17,2/16/17 20:39,No
8.31576E+17,2/14/17 18:50,Yes
8.312E+17,2/13/17 17:53,Yes
8.30615E+17,2/12/17 3:10,Yes
8.29006E+17,2/7/17 16:34,Yes
8.26847E+17,2/1/17 17:38,Yes
8.25407E+17,1/28/17 18:14,
8.25051E+17,1/27/17 18:41,
8.25034E+17,1/27/17 17:31,Yes
8.23691E+17,1/24/17 0:38,Yes
8.21835E+17,1/18/17 21:40,No
8.21152E+17,1/17/17 0:28,
8.20745E+17,1/15/17 21:30,Yes
8.20407E+17,1/14/17 23:08,Yes
8.20025E+17,1/13/17 21:51,Yes
8.19611E+17,1/12/17 18:23,Yes
8.19297E+17,1/11/17 21:35,No
8.17544E+17,1/7/17 1:32,Yes
8.17399E+17,1/6/17 15:53,Yes
8.17177E+17,1/6/17 1:10,Yes
8.17089E+17,1/5/17 19:21,Yes
8.16773E+17,1/4/17 22:28,Yes
8.16443E+17,1/4/17 0:34,Yes
8.16077E+17,1/3/17 0:21,No
8.15715E+17,1/2/17 0:22,No
8.15249E+17,12/31/16 17:32,No
8.14258E+17,12/28/16 23:53,Yes
8.12811E+17,12/25/16 0:02,No
8.12358E+17,12/23/16 18:04,No
8.11967E+17,12/22/16 16:08,Yes
8.10181E+17,12/17/16 17:54,Yes
8.09804E+17,12/16/16 16:55,Yes
8.09137E+17,12/14/16 20:42,Yes
8.06942E+17,12/8/16 19:23,Yes
8.06664E+17,12/8/16 0:56,Yes
8.06227E+17,12/6/16 20:01,Yes
8.02564E+17,11/26/16 17:26,Yes
8.01156E+17,11/22/16 20:12,No
7.99388E+17,11/17/16 23:06,No
7.98321E+17,11/15/16 0:24,Yes
7.97111E+17,11/11/16 16:17,Yes
7.96839E+17,11/10/16 22:15,Yes
7.96612E+17,11/10/16 7:13,Yes
7.96448E+17,11/9/16 20:23,No
7.96114E+17,11/8/16 22:15,Yes
7.95418E+17,11/7/16 0:09,No
7.94584E+17,11/4/16 16:54,Yes
7.94235E+17,11/3/16 17:50,Yes
7.93914E+17,11/2/16 20:34,No
7.92067E+17,10/28/16 18:13,No
7.89941E+17,10/22/16 21:25,Yes
7.89576E+17,10/21/16 21:17,No
7.88787E+17,10/19/16 16:59,Yes
7.88143E+17,10/17/16 22:22,No
7.85964E+17,10/11/16 22:04,Yes
7.85599E+17,10/10/16 21:52,
7.84127E+17,10/6/16 20:22,
7.83703E+17,10/5/16 16:18,No
7.83409E+17,10/4/16 20:51,No
7.82707E+17,10/2/16 22:21,No
