STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD,TweetDate,IsVisible
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2014-09-04 08:53,FM-15,CLR:00,10.00,,64,17.8,57,13.8,51,10.6,63,7,360,,30.12,,,30.15,0.00,30.15,,,,,,,,,,0532,1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,9/4/14 16:26,True
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2014-07-17 16:53,FM-15,FEW:02 250,10.00,,81,27.2,64,17.7,52,11.1,37,7,250,,29.93,,,29.96,0.00,29.96,,,,,,,,,,0430,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,7/17/14 23:58,False
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2014-11-28 10:53,FM-15,BKN:07 8 BKN:07 15 OVC:08 21,3.00,RA:02 |RA:62 |,47,8.3,45,7.0,42,5.6,83,7,010,,29.49,,,29.52,0.19,29.52,,,,,,,,,,0732,1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,11/28/14 19:07,False
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2017-07-18 09:53,FM-15,CLR:00,10.00,,72,22.2,61,15.9,52,11.1,50,8,310,,29.99,8,,30.02,0.00,30.02,,,,,,,,,,0430,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,7/18/17 19:22,True
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2016-08-17 15:53,FM-15,CLR:00,10.00,,79,26.1,64,17.6,53,11.7,41,8,300,,29.98,6,,30.01,0.00,30.01,,,,,,,,,,0509,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,8/17/16 23:04,True
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2015-03-12 11:53,FM-15,SCT:04 35 BKN:07 210,10.00,,63,17.2,55,12.5,47,8.3,56,9,190,,30.40,,,30.43,0.00,30.43,,,,,,,,,,0629,1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,3/12/15 19:56,False
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2015-02-01 14:53,FM-15,SCT:04 9 BKN:07 12 BKN:07 27,10.00,,50,10.0,47,8.4,44,6.7,80,10,150,17,30.00,,,30.03,T,30.03,,,,,,,,,,0736,1711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,2/1/15 23:10,False
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2017-07-10 13:53,FM-15,SCT:04 39 BKN:07 180,10.00,,70,21.1,62,16.5,56,13.3,61,10,200,,30.02,,,30.06,0.00,30.05,,,,,,,,,,0422,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,7/10/17 22:36,False
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2014-10-01 13:53,FM-15,FEW:02 25 SCT:04 200,10.00,,66,18.9,56,13.5,48,8.9,52,7,240,,30.15,,,30.18,0.00,30.18,,,,,,,,,,0608,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,10/1/14 21:23,False
WBAN:24234,SEATTLE BOEING FIELD WA US,6.1,47.53028,-122.30083,2014-12-03 14:53,FM-15,SCT:04 150 BKN:07 250,10.00,,47,8.3,40,4.6,31,-0.6,54,6,300,,29.74,,,29.78,0.00,29.77,,,,,,,,,,0738,1619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,,12/3/14 23:04,True
